"manufacturer","mfr.division","carline","displacement","cylinders","transmission","city.fe","hwy.fe","gears","drive.system"
"Volkswagen Group of","Volkswagen","Beetle",1.8,4,"Auto(S6)",24,33,6,"F"
"Volkswagen Group of","Volkswagen","Beetle",2,4,"Auto(AM-S6)",23,29,6,"F"
"Volkswagen Group of","Volkswagen","Beetle Dune",1.8,4,"Auto(S6)",24,31,6,"F"
"Volkswagen Group of","Volkswagen","CC",2,4,"Auto(AM-S6)",22,31,6,"F"
"Volkswagen Group of","Volkswagen","CC 4Motion",3.6,6,"Auto(S6)",17,25,6,"A"
"Volkswagen Group of","Volkswagen","Golf",1.8,4,"Auto(S6)",25,35,6,"F"
"Volkswagen Group of","Volkswagen","Golf",1.8,4,"Manual(M5)",25,36,5,"F"
"Volkswagen Group of","Volkswagen","Golf R",2,4,"Auto(AM-S6)",23,30,6,"A"
"Volkswagen Group of","Volkswagen","Golf R",2,4,"Manual(M6)",22,31,6,"A"
"Volkswagen Group of","Volkswagen","GTI",2,4,"Auto(AM-S6)",24,32,6,"F"
"Volkswagen Group of","Volkswagen","GTI",2,4,"Manual(M6)",24,34,6,"F"
"Volkswagen Group of","Volkswagen","Jetta",1.4,4,"Auto(S6)",28,38,6,"F"
"Volkswagen Group of","Volkswagen","Jetta",1.4,4,"Manual(M5)",28,40,5,"F"
"Volkswagen Group of","Volkswagen","Jetta",1.8,4,"Auto(S6)",25,35,6,"F"
"Volkswagen Group of","Volkswagen","Jetta",2,4,"Auto(AM-S6)",24,33,6,"F"
"Volkswagen Group of","Volkswagen","Jetta",2,4,"Manual(M6)",23,33,6,"F"
"Volvo","Volvo Cars of North America, LLC","S60 AWD",2,4,"Auto(S8)",23,31,8,"A"
"Volvo","Volvo Cars of North America, LLC","S60 AWD",2,4,"Auto(S8)",22,32,8,"A"
"Volvo","Volvo Cars of North America, LLC","S60 CC AWD",2,4,"Auto(S8)",22,30,8,"A"
"Volvo","Volvo Cars of North America, LLC","S60 FWD",2,4,"Auto(S8)",25,36,8,"F"
"Volvo","Volvo Cars of North America, LLC","S60 Inscription AWD",2,4,"Auto(S8)",23,31,8,"A"
"Volvo","Volvo Cars of North America, LLC","S60 Inscription FWD",2,4,"Auto(S8)",25,36,8,"F"
"Volvo","Volvo Cars of North America, LLC","S60 Polestar AWD",2,4,"Auto(S8)",20,27,8,"A"
"Honda","Acura","RLX",3.5,6,"Auto(AM-S7)",29,30,7,"A"
"Honda","Acura","RLX",3.5,6,"Auto(S6)",20,30,6,"F"
"FCA US LLC","ALFA ROMEO","Giulia",2.9,6,"Auto(A8)",17,24,8,"R"
"Volkswagen Group of","Audi","A6",2,4,"Auto(AM-S7)",24,34,7,"F"
"Volkswagen Group of","Audi","A6 quattro",2,4,"Auto(S8)",22,31,8,"A"
"Volkswagen Group of","Audi","A6 quattro",3,6,"Auto(S8)",21,29,8,"A"
"Volkswagen Group of","Audi","A7 quattro",3,6,"Auto(S8)",21,29,8,"A"
"Volkswagen Group of","Audi","RS7",4,8,"Auto(S8)",15,25,8,"A"
"Volkswagen Group of","Audi","S6",4,8,"Auto(AM-S7)",18,27,7,"A"
"Volkswagen Group of","Audi","S7",4,8,"Auto(AM-S7)",17,27,7,"A"
"Volkswagen Group of","Audi","S8",4,8,"Auto(S8)",15,24,8,"A"
"Volkswagen Group of","Bentley","Flying Spur",4,8,"Auto(S8)",14,24,8,"A"
"Volkswagen Group of","Bentley","Flying Spur",6,12,"Auto(S8)",12,20,8,"A"
"Volkswagen Group of","Bentley","Mulsanne",6.8,8,"Auto(S8)",11,18,8,"R"
"Volkswagen Group of","Bentley","Mulsanne EWB",6.8,8,"Auto(S8)",11,17,8,"R"
"General Motors","Buick","LACROSSE",3.6,6,"Auto(S8)",21,31,8,"F"
"General Motors","Buick","LACROSSE AWD",3.6,6,"Auto(S8)",20,29,8,"A"
"General Motors","Buick","REGAL",2,4,"Auto(S6)",21,29,6,"F"
"General Motors","Buick","REGAL",2.4,4,"Auto(S6)",19,30,6,"F"
"General Motors","Buick","REGAL AWD",2,4,"Auto(S6)",19,27,6,"A"
"General Motors","Cadillac","CTS",2,4,"Auto(S8)",22,30,8,"R"
"General Motors","Cadillac","CTS",3.6,6,"Auto(S8)",20,30,8,"R"
"General Motors","Cadillac","CTS",3.6,6,"Auto(S8)",16,24,8,"R"
"General Motors","Cadillac","CTS AWD",2,4,"Auto(S8)",21,29,8,"A"
"General Motors","Cadillac","CTS AWD",3.6,6,"Auto(S8)",19,27,8,"A"
"General Motors","Cadillac","CTS-V",6.2,8,"Auto(S8)",14,21,8,"R"
"General Motors","Chevrolet","MALIBU",1.5,4,"Auto(A6)",27,36,6,"F"
"General Motors","Chevrolet","MALIBU",1.8,4,"Auto(AV)",49,43,1,"F"
"General Motors","Chevrolet","MALIBU",2,4,"Auto(A9)",22,33,9,"F"
"FCA US LLC","Chrysler","200",2.4,4,"Auto(A9)",23,36,9,"F"
"FCA US LLC","Chrysler","200",2.4,4,"Auto(A9)",23,36,9,"F"
"FCA US LLC","Chrysler","200",3.6,6,"Auto(A9)",19,31,9,"F"
"FCA US LLC","Chrysler","200 AWD",3.6,6,"Auto(A9)",18,28,9,"A"
"FCA US LLC","Dodge","Challenger",3.6,6,"Auto(A8)",19,30,8,"R"
"FCA US LLC","Dodge","Challenger",5.7,8,"Auto(A8)",16,25,8,"R"
"FCA US LLC","Dodge","Challenger",5.7,8,"Manual(M6)",15,23,6,"R"
"FCA US LLC","Dodge","Challenger",6.4,8,"Auto(A8)",15,25,8,"R"
"FCA US LLC","Dodge","Challenger",6.4,8,"Manual(M6)",14,23,6,"R"
"FCA US LLC","Dodge","Challenger SRT",6.2,8,"Auto(A8)",13,22,8,"R"
"FCA US LLC","Dodge","Challenger SRT",6.2,8,"Manual(M6)",13,21,6,"R"
"FCA US LLC","Dodge","Challenger SRT",6.4,8,"Auto(A8)",15,25,8,"R"
"FCA US LLC","Dodge","Challenger SRT",6.4,8,"Manual(M6)",14,23,6,"R"
"Ford Motor Company","Ford","FOCUS RS AWD",2.3,4,"Manual(M6)",19,25,6,"A"
"Ford Motor Company","Ford","Focus ST FWD",2,4,"Manual(M6)",22,30,6,"F"
"Ford Motor Company","Ford","FUSION AWD",2,4,"Auto(S6)",20,29,6,"A"
"Ford Motor Company","Ford","FUSION AWD",2.7,6,"Auto(S6)",17,26,6,"A"
"Ford Motor Company","Ford","FUSION FWD",1.5,4,"Auto(S6)",23,34,6,"F"
"Ford Motor Company","Ford","FUSION FWD",2,4,"Auto(S6)",21,31,6,"F"
"Ford Motor Company","Ford","FUSION FWD",2.5,4,"Auto(A6)",21,32,6,"F"
"Ford Motor Company","Ford","FUSION HYBRID FWD",2,4,"Auto(AV)",43,41,1,"F"
"Honda","Honda","ACCORD",2,4,"Auto(AV)",49,47,1,"F"
"Honda","Honda","ACCORD",2.4,4,"Auto(AV)",27,36,1,"F"
"Honda","Honda","ACCORD",2.4,4,"Auto(AV-S7)",26,34,7,"F"
"Honda","Honda","ACCORD",2.4,4,"Manual(M6)",23,32,6,"F"
"Honda","Honda","ACCORD",3.5,6,"Auto(A6)",21,33,6,"F"
"Honda","Honda","ACCORD",3.5,6,"Auto(S6)",21,32,6,"F"
"Honda","Honda","ACCORD",3.5,6,"Manual(M6)",18,28,6,"F"
"Honda","Honda","CIVIC 4Dr",1.5,4,"Auto(AV)",32,42,1,"F"
"Honda","Honda","CIVIC 4Dr",1.5,4,"Manual(M6)",31,42,6,"F"
"Honda","Honda","CIVIC 4Dr",2,4,"Auto(AV)",31,40,1,"F"
"Honda","Honda","CIVIC 4Dr",2,4,"Manual(M6)",28,40,6,"F"
"Hyundai","HYUNDAI MOTOR COMPANY","Elantra",1.4,4,"Auto(AM7)",32,40,7,"F"
"Hyundai","HYUNDAI MOTOR COMPANY","Elantra",1.6,4,"Auto(AM7)",26,33,7,"F"
"Hyundai","HYUNDAI MOTOR COMPANY","Elantra",1.6,4,"Manual(M6)",22,30,6,"F"
"Hyundai","HYUNDAI MOTOR COMPANY","Elantra",2,4,"Auto(S6)",28,37,6,"F"
"Hyundai","HYUNDAI MOTOR COMPANY","Elantra",2,4,"Manual(M6)",26,36,6,"F"
"Hyundai","HYUNDAI MOTOR COMPANY","Elantra GT",2,4,"Auto(S6)",24,32,6,"F"
"Hyundai","HYUNDAI MOTOR COMPANY","Elantra GT",2,4,"Manual(M6)",24,32,6,"F"
"Hyundai","HYUNDAI MOTOR COMPANY","Elantra SE",2,4,"Auto(S6)",29,38,6,"F"
"Hyundai","HYUNDAI MOTOR COMPANY","Sonata HYBRID",2,4,"Auto(AM6)",38,43,6,"F"
"Hyundai","HYUNDAI MOTOR COMPANY","Sonata HYBRID SE",2,4,"Auto(AM6)",39,45,6,"F"
"Nissan","INFINITI","Q50",2,4,"Auto(S7)",23,31,7,"R"
"Nissan","INFINITI","Q50",3,6,"Auto(S7)",20,29,7,"R"
"Nissan","INFINITI","Q50 AWD",2,4,"Auto(S7)",22,28,7,"A"
"Nissan","INFINITI","Q50 AWD",3,6,"Auto(S7)",19,27,7,"A"
"Nissan","INFINITI","Q50S  RED SPORT",3,6,"Auto(S7)",20,26,7,"R"
"Nissan","INFINITI","Q50S AWD RED SPORT",3,6,"Auto(S7)",19,26,7,"A"
"Nissan","INFINITI","Q70",3.7,6,"Auto(S7)",18,25,7,"R"
"Nissan","INFINITI","Q70",5.6,8,"Auto(S7)",16,24,7,"R"
"Nissan","INFINITI","Q70 AWD",3.7,6,"Auto(S7)",18,24,7,"A"
"Nissan","INFINITI","Q70 AWD",5.6,8,"Auto(S7)",16,23,7,"A"
"Nissan","INFINITI","Q70 HYBRID",3.5,6,"Auto(S7)",28,33,7,"R"
"Jaguar Land Rover L","Jaguar","XF",2,4,"Auto(S8)",31,42,8,"R"
"Jaguar Land Rover L","Jaguar","XF",3,6,"Auto(S8)",20,29,8,"R"
"Jaguar Land Rover L","Jaguar","XF AWD",2,4,"Auto(S8)",30,40,8,"A"
"Jaguar Land Rover L","Jaguar","XF AWD",3,6,"Auto(S8)",20,28,8,"A"
"Kia","KIA MOTORS CORPORATION","Forte",2,4,"Auto(S6)",29,38,6,"F"
"Kia","KIA MOTORS CORPORATION","Forte",2,4,"Auto(S6)",25,33,6,"F"
"Kia","KIA MOTORS CORPORATION","Forte",2,4,"Manual(M6)",25,34,6,"F"
"Kia","KIA MOTORS CORPORATION","Optima Hybrid",2,4,"Auto(AM6)",39,46,6,"F"
"Toyota","LEXUS","ES 300h",2.5,4,"Auto(AV-S6)",40,39,6,"F"
"Toyota","LEXUS","ES 350",3.5,6,"Auto(S6)",21,30,6,"F"
"Toyota","LEXUS","GS 200t",2,4,"Auto(S8)",22,32,8,"R"
"Toyota","LEXUS","GS 200t F SPORT",2,4,"Auto(S8)",21,30,8,"R"
"Toyota","LEXUS","GS 350",3.5,6,"Auto(S8)",20,28,8,"R"
"Toyota","LEXUS","GS 350 AWD",3.5,6,"Auto(S6)",19,26,6,"A"
"Toyota","LEXUS","GS 350 F SPORT",3.5,6,"Auto(S8)",19,27,8,"R"
"Toyota","LEXUS","GS 450h",3.5,6,"Auto(AV-S8)",29,34,8,"R"
"Toyota","LEXUS","LS 460",4.6,8,"Auto(S8)",16,24,8,"R"
"Toyota","LEXUS","LS 460 AWD",4.6,8,"Auto(S8)",16,23,8,"A"
"Toyota","LEXUS","LS 460 L",4.6,8,"Auto(S8)",16,24,8,"R"
"Toyota","LEXUS","LS 460 L AWD",4.6,8,"Auto(S8)",16,23,8,"A"
"Ford Motor Company","Lincoln","MKZ AWD",2,4,"Auto(S6)",20,28,6,"A"
"Ford Motor Company","Lincoln","MKZ AWD",3,6,"Auto(S6)",17,26,6,"A"
"Ford Motor Company","Lincoln","MKZ FWD",2,4,"Auto(S6)",21,31,6,"F"
"Ford Motor Company","Lincoln","MKZ FWD",3,6,"Auto(S6)",18,27,6,"F"
"Ford Motor Company","Lincoln","MKZ HYBRID FWD",2,4,"Auto(AV)",41,38,1,"F"
"Maserati","MASERATI","Ghibli  S RWD",3,6,"Auto(A8)",16,24,8,"R"
"Maserati","MASERATI","Ghibli V6 Rear Wheel Drive (RWD)",3,6,"Auto(A8)",17,24,8,"R"
"Maserati","MASERATI","Ghibli V6 SQ4 AWD",3,6,"Auto(A8)",16,24,8,"A"
"MAZDA","MAZDA","MAZDA3 5-Door",2,4,"Auto(S6)",28,37,6,"F"
"MAZDA","MAZDA","MAZDA3 5-Door",2,4,"Manual(M6)",27,37,6,"F"
"MAZDA","MAZDA","MAZDA3 5-Door",2.5,4,"Auto(S6)",26,35,6,"F"
"MAZDA","MAZDA","MAZDA3 5-Door",2.5,4,"Auto(S6)",27,36,6,"F"
"MAZDA","MAZDA","MAZDA3 5-Door",2.5,4,"Manual(M6)",25,33,6,"F"
"MAZDA","MAZDA","MAZDA6",2.5,4,"Auto(S6)",26,35,6,"F"
"MAZDA","MAZDA","MAZDA6",2.5,4,"Auto(S6)",27,35,6,"F"
"MAZDA","MAZDA","MAZDA6",2.5,4,"Manual(M6)",24,34,6,"F"
"Mercedes-Benz","Mercedes-Benz","AMG E 43 4MATIC",3,6,"Auto(A9)",18,25,9,"4"
"Mercedes-Benz","Mercedes-Benz","E 300",2,4,"Auto(A9)",22,30,9,"R"
"Mercedes-Benz","Mercedes-Benz","E 300 4MATIC",2,4,"Auto(A9)",22,29,9,"4"
"BMW","Mini","JOHN COOPER WORKS CLUBMAN ALL4",2,4,"Auto(S8)",23,31,8,"A"
"BMW","Mini","JOHN COOPER WORKS CLUBMAN ALL4",2,4,"Manual(M6)",21,31,6,"A"
"BMW","Mini","MINI COOPER CLUBMAN",1.5,4,"Auto(S6)",25,33,6,"F"
"BMW","Mini","MINI COOPER CLUBMAN",1.5,4,"Manual(M6)",25,34,6,"F"
"BMW","Mini","MINI COOPER CLUBMAN ALL4",1.5,4,"Auto(S8)",22,29,8,"A"
"BMW","Mini","MINI COOPER CLUBMAN ALL4",1.5,4,"Manual(M6)",22,32,6,"A"
